,movimiento_id,buque_id,matricula,radar_id,muelle,tipo_carga,origen,fecha_ingreso,hora_ingreso,fecha_egreso,hora_egreso,tonelaje_declarado,velocidad_ingreso,velocidad_maxima_muelle,estado_despacho,duracion_hora,exceso_velocidad_real,exceso_velocidad
296,MOV-00344,B-030,MAERSKPAMPAS,R-07,MUELLED,GRANOS,SANTA FE,2024-05-30,1900-01-01 07:37:00,2024-06-02,1900-01-01 09:26:00,5561.19,12.9,12,RECHAZADO,3 days 01:49:00,0.9000000000000004,0.29999999999999893
300,MOV-00348,B-014,EVERGREEN02,R-07,MUELLEE,SOJA,MONTEVIDEO,2022-07-30,1900-01-01 22:54:00,2022-07-31,1900-01-01 17:15:00,3857.73,15.8,12,PENDIENTE,0 days 18:21:00,3.8000000000000007,3.1999999999999993
304,MOV-00353,B-003,EVERGREEN02,R-02,MUELLED,SOJA,HAMBURG,2022-10-14,1900-01-01 00:00:00,2022-10-16,1900-01-01 00:06:00,4954.97,12.9,10,PENDIENTE,2 days 00:06:00,2.9000000000000004,2.4000000000000004
306,MOV-00355,B-019,CMAROSARIO,R-07,MUELLED,SOJA,BUENOS AIRES,2023-12-15,1900-01-01 23:52:00,2023-12-18,1900-01-01 11:33:00,4998.12,15.8,12,DESPACHADO,2 days 11:41:00,3.8000000000000007,3.1999999999999993
311,MOV-00361,B-033,ONEPLATA,R-06,MUELLEB,CONTENEDORES,SANTA FE,2020-06-07,1900-01-01 07:36:00,2020-06-10,1900-01-01 10:15:00,1917.76,19.1,10,PENDIENTE,3 days 02:39:00,9.100000000000001,8.600000000000001
313,MOV-00363,B-027,MAERSKPAMPAS,R-03,MUELLEE,MINERALES,SAO PAULO,2022-05-07,1900-01-01 08:48:00,2022-05-10,1900-01-01 02:57:00,5151.36,11.6,10,PENDIENTE,2 days 18:09:00,1.5999999999999996,1.0999999999999996
315,MOV-00365,B-007,ZIMDELTA,R-05,MUELLED,ACEITE,SANTA FE,2020-10-20,1900-01-01 01:52:00,2020-10-21,1900-01-01 22:22:00,4740.42,14.9,10,RECHAZADO,1 days 20:30:00,4.9,4.4
318,MOV-00369,B-008,YANGMING,R-07,MUELLED,ACEITE,SAO PAULO,2023-09-14,1900-01-01 03:22:00,2023-09-16,1900-01-01 08:23:00,6001.8,14.2,12,RECHAZADO,2 days 05:01:00,2.1999999999999993,1.5999999999999979
324,MOV-00375,B-001,HAPAGRIO,R-02,MUELLEB,TRIGO,HAMBURG,2023-07-06,1900-01-01 16:31:00,2023-07-07,1900-01-01 07:40:00,6223.03,12.8,10,DESPACHADO,0 days 15:09:00,2.8000000000000007,2.3000000000000007
327,MOV-00378,B-011,MSCGENOVA,R-04,MUELLEB,SOJA,MONTEVIDEO,2020-06-08,1900-01-01 01:08:00,2020-06-10,1900-01-01 07:56:00,6247.2,17.3,12,PENDIENTE,2 days 06:48:00,5.300000000000001,4.699999999999999
330,MOV-00381,B-009,COSCOSTAR,R-07,MUELLEA,GRANOS,HAMBURG,2024-10-12,1900-01-01 06:41:00,2024-10-12,1900-01-01 23:06:00,4069.0,17.5,12,DESPACHADO,0 days 16:25:00,5.5,4.899999999999999
331,MOV-00383,B-020,ONEPARANA,R-03,MUELLEC,GRANOS,ROTTERDAM,2022-04-27,1900-01-01 07:53:00,2022-04-28,1900-01-01 22:21:00,5288.55,13.5,12,EN_REVISION,1 days 14:28:00,1.5,0.8999999999999986
332,MOV-00384,B-028,EVERGREEN02,R-05,MUELLEB,ACEITE,VALPARAISO,2022-08-15,1900-01-01 08:02:00,2022-08-16,1900-01-01 09:17:00,4177.33,11.8,10,DESPACHADO,1 days 01:15:00,1.8000000000000007,1.3000000000000007
334,MOV-00386,B-011,YANGMING,R-04,MUELLEE,MAIZ,MONTEVIDEO,2021-09-25,1900-01-01 04:51:00,2021-09-27,1900-01-01 03:39:00,5095.77,11.0,10,EN_REVISION,1 days 22:48:00,1.0,0.5
339,MOV-00394,B-034,EVERGREEN02,R-05,MUELLEC,ACEITE,HAMBURG,2023-07-02,1900-01-01 11:36:00,2023-07-04,1900-01-01 15:10:00,6651.49,12.8,10,RECHAZADO,2 days 03:34:00,2.8000000000000007,2.3000000000000007
342,MOV-00399,B-007,MSCALPHA,R-02,MUELLED,MINERALES,SAO PAULO,2024-05-31,1900-01-01 14:44:00,2024-06-02,1900-01-01 04:18:00,3993.35,15.8,12,EN_REVISION,1 days 13:34:00,3.8000000000000007,3.1999999999999993
346,MOV-00404,B-020,PILSANTA,R-04,MUELLEC,HARINA,VALPARAISO,2022-09-25,1900-01-01 00:20:00,2022-09-27,1900-01-01 07:19:00,6542.46,15.3,10,RECHAZADO,2 days 06:59:00,5.300000000000001,4.800000000000001
347,MOV-00405,B-020,YANGESTE,R-04,MUELLEE,MAIZ,SHANGHAI,2024-10-11,1900-01-01 05:39:00,2024-10-12,1900-01-01 21:47:00,5430.33,14.8,10,PENDIENTE,1 days 16:08:00,4.800000000000001,4.300000000000001
348,MOV-00406,B-027,MSCGENOVA,R-07,MUELLEA,CONTENEDORES,SHANGHAI,2024-08-03,1900-01-01 22:12:00,2024-08-05,1900-01-01 20:24:00,7023.15,11.2,10,PENDIENTE,1 days 22:12:00,1.1999999999999993,0.6999999999999993
349,MOV-00407,B-003,COSCOTIGRE,R-08,MUELLEB,HARINA,ROTTERDAM,2023-01-06,1900-01-01 11:28:00,2023-01-08,1900-01-01 23:06:00,6377.86,14.6,12,DESPACHADO,2 days 11:38:00,2.5999999999999996,1.9999999999999982
356,MOV-00415,B-035,CMALITORAL,R-03,MUELLEE,GRANOS,VALPARAISO,2021-10-23,1900-01-01 21:34:00,2021-10-25,1900-01-01 09:18:00,2456.01,13.2,10,RECHAZADO,1 days 11:44:00,3.1999999999999993,2.6999999999999993
369,MOV-00428,B-015,CMALITORAL,R-05,MUELLEE,GRANOS,HAMBURG,2020-02-15,1900-01-01 17:28:00,2020-02-16,1900-01-01 05:57:00,3715.56,12.1,10,RECHAZADO,0 days 12:29:00,2.0999999999999996,1.5999999999999996
371,MOV-00430,B-025,MAERSKPAMPAS,R-07,MUELLEF,MINERALES,MONTEVIDEO,2023-12-19,1900-01-01 13:56:00,2023-12-21,1900-01-01 16:22:00,5423.49,14.4,10,EN_REVISION,2 days 02:26:00,4.4,3.9000000000000004
375,MOV-00434,B-037,ZIMNORTE,,MUELLEF,ACEITE,SANTA FE,2021-12-21,1900-01-01 17:03:00,2021-12-24,1900-01-01 19:42:00,5974.98,12.7,10,DESPACHADO,3 days 02:39:00,2.6999999999999993,2.1999999999999993
376,MOV-00436,B-001,COSCOTIGRE,R-01,MUELLEF,MINERALES,MONTEVIDEO,2024-06-08,1900-01-01 15:04:00,2024-06-09,1900-01-01 20:31:00,5534.34,12.6,10,PENDIENTE,1 days 05:27:00,2.5999999999999996,2.0999999999999996
377,MOV-00437,B-034,EVERGLORY,R-08,MUELLED,SOJA,BUENOS AIRES,2024-04-10,1900-01-01 22:51:00,2024-04-11,1900-01-01 04:03:00,6155.51,12.7,10,PENDIENTE,0 days 05:12:00,2.6999999999999993,2.1999999999999993
378,MOV-00438,B-013,EVERGLORY,R-07,MUELLED,MAIZ,VALPARAISO,2023-09-09,1900-01-01 23:28:00,2023-09-10,1900-01-01 14:57:00,5261.25,16.2,12,DESPACHADO,0 days 15:29:00,4.199999999999999,3.599999999999998
381,MOV-00441,B-014,ONEPARANA,R-04,MUELLEF,ACEITE,HAMBURG,2020-10-16,1900-01-01 15:06:00,2020-10-19,1900-01-01 22:37:00,4274.29,13.8,12,RECHAZADO,3 days 07:31:00,1.8000000000000007,1.1999999999999993
383,MOV-00443,B-038,CMALITORAL,R-08,MUELLEC,MAIZ,VALPARAISO,2020-11-30,1900-01-01 13:07:00,2020-12-03,1900-01-01 00:47:00,,14.3,10,EN_REVISION,2 days 11:40:00,4.300000000000001,3.8000000000000007
384,MOV-00446,B-018,COSCOTIGRE,R-06,MUELLEC,CONTENEDORES,ROTTERDAM,2023-02-05,1900-01-01 06:31:00,2023-02-06,1900-01-01 17:23:00,5745.42,14.0,12,EN_REVISION,1 days 10:52:00,2.0,1.3999999999999986
386,MOV-00448,B-039,HAPAGRIO,R-08,MUELLEC,GRANOS,HAMBURG,2021-06-23,1900-01-01 04:56:00,2021-06-24,1900-01-01 09:06:00,4511.93,11.9,10,PENDIENTE,1 days 04:10:00,1.9000000000000004,1.4000000000000004
387,MOV-00449,B-017,YANGMING,R-03,MUELLEA,GRANOS,BUENOS AIRES,2024-03-27,1900-01-01 13:05:00,2024-03-30,1900-01-01 18:15:00,3911.87,16.0,15,RECHAZADO,3 days 05:10:00,1.0,0.25
388,MOV-00451,B-010,PILSANTA,R-06,MUELLEB,GRANOS,HAMBURG,2021-07-22,1900-01-01 07:12:00,2021-07-25,1900-01-01 11:40:00,6230.11,16.7,15,RECHAZADO,3 days 04:28:00,1.6999999999999993,0.9499999999999993
392,MOV-00455,B-010,CMALITORAL,R-07,MUELLEE,MAIZ,HAMBURG,2021-02-09,1900-01-01 22:38:00,1900-01-01,1900-01-01 17:03:00,5747.81,13.5,12,EN_REVISION,,1.5,0.8999999999999986
393,MOV-00456,B-021,PILOESTE,R-01,MUELLEE,GRANOS,MONTEVIDEO,2020-07-28,1900-01-01 16:10:00,2020-07-30,1900-01-01 22:38:00,5414.23,12.4,10,RECHAZADO,2 days 06:28:00,2.4000000000000004,1.9000000000000004
395,MOV-00458,B-011,COSCOTIGRE,R-04,MUELLEB,GRANOS,VALPARAISO,2024-09-05,1900-01-01 00:00:00,2024-09-06,1900-01-01 00:00:00,3653.61,10.8,10,EN_REVISION,1 days 00:00:00,0.8000000000000007,0.3000000000000007
398,MOV-00462,B-019,HAPAGSUR,R-04,MUELLEC,GRANOS,VALPARAISO,2023-08-24,1900-01-01 01:55:00,2023-08-26,1900-01-01 04:57:00,5124.59,15.3,10,PENDIENTE,2 days 03:02:00,5.300000000000001,4.800000000000001
403,MOV-00468,B-034,HAPAGSUR,R-03,MUELLED,HARINA,MONTEVIDEO,2023-11-07,1900-01-01 04:53:00,2023-11-07,1900-01-01 11:33:00,4730.34,14.6,10,DESPACHADO,0 days 06:40:00,4.6,4.1
404,MOV-00469,B-007,HAPAGRIO,R-03,MUELLEB,GRANOS,HAMBURG,2023-12-21,1900-01-01 16:57:00,2023-12-23,1900-01-01 07:39:00,3755.79,15.5,10,RECHAZADO,1 days 14:42:00,5.5,5.0
406,MOV-00472,B-015,CMAROSARIO,R-08,MUELLEE,CONTENEDORES,MONTEVIDEO,2022-06-05,1900-01-01 19:01:00,2022-06-08,1900-01-01 06:13:00,4196.73,10.6,10,PENDIENTE,2 days 11:12:00,0.5999999999999996,0.09999999999999964
410,MOV-00476,B-028,ONEPARANA,,MUELLEF,GRANOS,SANTA FE,2021-08-05,1900-01-01 13:15:00,2021-08-06,1900-01-01 03:57:00,4121.64,15.6,12,DESPACHADO,0 days 14:42:00,3.5999999999999996,2.9999999999999982
413,MOV-00480,B-036,EVERGLORY,R-05,MUELLEA,HARINA,HAMBURG,2024-11-18,1900-01-01 05:14:00,2024-11-20,1900-01-01 18:05:00,4364.41,17.7,12,PENDIENTE,2 days 12:51:00,5.699999999999999,5.099999999999998
416,MOV-00483,B-008,YANGESTE,R-07,MUELLED,CONTENEDORES,VALPARAISO,2021-03-17,1900-01-01 13:49:00,2021-03-18,1900-01-01 04:11:00,6371.36,12.5,10,EN_REVISION,0 days 14:22:00,2.5,2.0
418,MOV-00486,B-040,COSCOTIGRE,R-05,MUELLED,TRIGO,SANTA FE,2022-05-06,1900-01-01 18:12:00,2022-05-09,1900-01-01 07:09:00,4029.65,19.0,10,DESPACHADO,2 days 12:57:00,9.0,8.5
422,MOV-00490,B-037,COSCOSTAR,R-01,MUELLEB,HARINA,SHANGHAI,2023-06-12,1900-01-01 00:52:00,2023-06-13,1900-01-01 00:00:00,6539.59,13.0,10,DESPACHADO,0 days 23:08:00,3.0,2.5
423,MOV-00491,B-019,EVERGLORY,R-07,MUELLEC,MAIZ,HAMBURG,2023-08-31,1900-01-01 22:52:00,2023-09-03,1900-01-01 12:42:00,4096.5,14.8,12,RECHAZADO,2 days 13:50:00,2.8000000000000007,2.1999999999999993
427,MOV-00495,B-003,ZIMDELTA,R-05,MUELLED,HARINA,SANTA FE,2021-05-04,1900-01-01 12:00:00,2021-05-06,1900-01-01 00:00:00,7861.89,13.9,12,PENDIENTE,1 days 12:00:00,1.9000000000000004,1.299999999999999
429,MOV-00497,B-010,MAERSKLIMA,R-01,MUELLEB,SOJA,VALPARAISO,2022-10-21,1900-01-01 17:29:00,2022-10-24,1900-01-01 13:57:00,5995.05,14.1,10,PENDIENTE,2 days 20:28:00,4.1,3.5999999999999996
432,MOV-00500,B-004,YANGMING,R-03,MUELLEF,HARINA,ROTTERDAM,2022-12-23,1900-01-01 11:04:00,2022-12-26,1900-01-01 13:02:00,4552.58,17.7,10,PENDIENTE,3 days 01:58:00,7.699999999999999,7.199999999999999
435,MOV-00503,B-025,ONEPARANA,R-05,MUELLEC,MAIZ,ROTTERDAM,2023-06-16,1900-01-01 03:45:00,2023-06-18,1900-01-01 00:00:00,5837.0,10.7,10,RECHAZADO,1 days 20:15:00,0.6999999999999993,0.1999999999999993
437,MOV-00505,B-032,HAPAGSUR,R-05,MUELLED,GRANOS,VALPARAISO,2024-03-12,1900-01-01 14:33:00,2024-03-14,1900-01-01 08:00:00,4355.81,12.7,10,DESPACHADO,1 days 17:27:00,2.6999999999999993,2.1999999999999993
438,MOV-00506,B-031,ZIMDELTA,R-08,MUELLEB,GRANOS,SAO PAULO,2022-11-09,1900-01-01 20:59:00,2022-11-10,1900-01-01 08:30:00,2365.02,17.8,15,RECHAZADO,0 days 11:31:00,2.8000000000000007,2.0500000000000007
441,MOV-00510,B-023,CMALITORAL,R-03,MUELLEA,SOJA,SANTA FE,2024-02-19,1900-01-01 01:46:00,2024-02-20,1900-01-01 16:06:00,5787.9,17.2,10,EN_REVISION,1 days 14:20:00,7.199999999999999,6.699999999999999
443,MOV-00512,B-037,ONEPARANA,R-08,MUELLED,MAIZ,HAMBURG,2024-06-22,1900-01-01 00:12:00,2024-06-24,1900-01-01 14:39:00,4342.4,15.8,15,EN_REVISION,2 days 14:27:00,0.8000000000000007,0.05000000000000071
444,MOV-00513,B-012,ZIMNORTE,R-04,MUELLEB,TRIGO,SANTA FE,2022-12-11,1900-01-01 17:05:00,2022-12-13,1900-01-01 23:43:00,5081.26,15.8,12,DESPACHADO,2 days 06:38:00,3.8000000000000007,3.1999999999999993
446,MOV-00515,B-019,PILSANTA,R-03,MUELLEA,MAIZ,HAMBURG,2020-11-04,1900-01-01 05:52:00,2020-11-05,1900-01-01 04:28:00,2369.12,12.4,10,EN_REVISION,0 days 22:36:00,2.4000000000000004,1.9000000000000004
447,MOV-00516,B-008,ZIMDELTA,R-07,MUELLEB,HARINA,SAO PAULO,2024-08-09,1900-01-01 05:50:00,2024-08-11,1900-01-01 22:12:00,4740.37,12.7,12,EN_REVISION,2 days 16:22:00,0.6999999999999993,0.09999999999999787
452,MOV-00523,B-011,ONEPARANA,R-03,MUELLEA,TRIGO,HAMBURG,2021-06-06,1900-01-01 00:00:00,2021-06-07,1900-01-01 14:40:00,4362.87,14.7,10,EN_REVISION,1 days 14:40:00,4.699999999999999,4.199999999999999
453,MOV-00524,B-003,ONEPARANA,R-01,MUELLEE,TRIGO,SHANGHAI,2022-03-02,1900-01-01 04:43:00,2022-03-04,1900-01-01 03:31:00,3685.67,14.5,10,RECHAZADO,1 days 22:48:00,4.5,4.0
455,MOV-00526,B-038,COSCOSTAR,R-05,MUELLEC,MAIZ,SANTA FE,2022-04-05,1900-01-01 19:45:00,2022-04-08,1900-01-01 02:24:00,6584.87,11.8,10,RECHAZADO,2 days 06:39:00,1.8000000000000007,1.3000000000000007
460,MOV-00533,B-011,MAERSKLIMA,R-02,MUELLEE,MAIZ,SANTA FE,2024-08-16,1900-01-01 16:42:00,2024-08-18,1900-01-01 03:27:00,6519.15,15.2,10,RECHAZADO,1 days 10:45:00,5.199999999999999,4.699999999999999
461,MOV-00534,B-007,MAERSKPAMPAS,R-05,MUELLEC,GRANOS,SAO PAULO,2022-03-26,1900-01-01 15:34:00,2022-03-27,1900-01-01 10:29:00,5254.62,14.2,10,RECHAZADO,0 days 18:55:00,4.199999999999999,3.6999999999999993
467,MOV-00541,B-035,PILOESTE,R-02,MUELLEC,CONTENEDORES,MONTEVIDEO,2021-01-17,1900-01-01 17:48:00,2021-01-19,1900-01-01 11:11:00,6590.74,14.2,12,EN_REVISION,1 days 17:23:00,2.1999999999999993,1.5999999999999979
468,MOV-00542,B-026,EVERGREEN02,R-06,MUELLEA,MINERALES,VALPARAISO,2023-06-03,1900-01-01 10:48:00,1900-01-01,1900-01-01 09:32:00,6458.48,10.8,10,RECHAZADO,,0.8000000000000007,0.3000000000000007
469,MOV-00543,B-016,PILSANTA,R-01,MUELLEA,ACEITE,SAO PAULO,2020-08-08,1900-01-01 10:52:00,2020-08-10,1900-01-01 22:14:00,,14.5,12,RECHAZADO,2 days 11:22:00,2.5,1.8999999999999986
470,MOV-00544,B-007,YANGMING,R-02,MUELLEA,ACEITE,MONTEVIDEO,2023-11-26,1900-01-01 00:00:00,2023-11-29,1900-01-01 07:34:00,3907.86,14.5,10,RECHAZADO,3 days 07:34:00,4.5,4.0
474,MOV-00548,B-039,CMAROSARIO,R-01,MUELLEF,HARINA,BUENOS AIRES,2022-11-30,1900-01-01 07:26:00,2022-12-01,1900-01-01 00:00:00,4890.22,12.3,10,DESPACHADO,0 days 16:34:00,2.3000000000000007,1.8000000000000007
477,MOV-00551,B-015,HAPAGRIO,R-07,MUELLEC,TRIGO,SANTA FE,2023-06-05,1900-01-01 22:46:00,2023-06-06,1900-01-01 07:43:00,4936.35,14.3,12,EN_REVISION,0 days 08:57:00,2.3000000000000007,1.6999999999999993
481,MOV-00556,B-019,MSCGENOVA,R-07,MUELLEF,MAIZ,SHANGHAI,2020-11-03,1900-01-01 19:18:00,2020-11-05,1900-01-01 12:59:00,4053.49,10.8,10,DESPACHADO,1 days 17:41:00,0.8000000000000007,0.3000000000000007
482,MOV-00557,B-032,MSCGENOVA,R-02,MUELLEB,MINERALES,BUENOS AIRES,2023-01-30,1900-01-01 10:34:00,2023-02-01,1900-01-01 23:50:00,4799.25,15.1,12,PENDIENTE,2 days 13:16:00,3.0999999999999996,2.4999999999999982
484,MOV-00559,B-037,CMALITORAL,R-06,MUELLED,HARINA,BUENOS AIRES,2022-01-31,1900-01-01 09:27:00,2022-02-01,1900-01-01 01:11:00,3310.98,13.6,12,EN_REVISION,0 days 15:44:00,1.5999999999999996,0.9999999999999982
486,MOV-00561,B-024,ONEPLATA,R-05,MUELLED,HARINA,SAO PAULO,2020-02-05,1900-01-01 18:27:00,2020-02-06,1900-01-01 00:00:00,5850.36,16.2,10,RECHAZADO,0 days 05:33:00,6.199999999999999,5.699999999999999
488,MOV-00564,B-036,YANGMING,R-02,MUELLED,CONTENEDORES,BUENOS AIRES,2022-09-20,1900-01-01 15:36:00,2022-09-22,1900-01-01 20:13:00,5207.39,14.4,10,PENDIENTE,2 days 04:37:00,4.4,3.9000000000000004
489,MOV-00565,B-009,MSCGENOVA,R-04,MUELLED,GRANOS,HAMBURG,2023-09-15,1900-01-01 21:42:00,2023-09-16,1900-01-01 19:12:00,5971.9,13.9,10,PENDIENTE,0 days 21:30:00,3.9000000000000004,3.4000000000000004
490,MOV-00567,B-012,ONEPARANA,,MUELLEE,SOJA,VALPARAISO,2020-11-19,1900-01-01 16:57:00,2020-11-22,1900-01-01 03:40:00,6455.2,14.4,10,RECHAZADO,2 days 10:43:00,4.4,3.9000000000000004
491,MOV-00568,B-017,COSCOSTAR,R-07,MUELLEA,ACEITE,ROTTERDAM,2020-12-28,1900-01-01 15:18:00,2020-12-29,1900-01-01 10:44:00,3480.58,12.1,10,DESPACHADO,0 days 19:26:00,2.0999999999999996,1.5999999999999996
492,MOV-00569,B-017,YANGESTE,R-07,MUELLEA,HARINA,HAMBURG,2023-02-22,1900-01-01 10:06:00,2023-02-24,1900-01-01 04:28:00,5752.97,14.6,10,EN_REVISION,1 days 18:22:00,4.6,4.1
496,MOV-00574,B-026,ONEPARANA,R-07,MUELLEC,TRIGO,ROTTERDAM,2022-02-01,1900-01-01 19:03:00,2022-02-03,1900-01-01 05:33:00,6277.43,14.3,12,PENDIENTE,1 days 10:30:00,2.3000000000000007,1.6999999999999993
499,MOV-00577,B-002,MAERSKLIMA,R-02,MUELLEB,HARINA,BUENOS AIRES,2024-07-27,1900-01-01 08:34:00,2024-07-30,1900-01-01 00:00:00,2762.06,17.8,15,DESPACHADO,2 days 15:26:00,2.8000000000000007,2.0500000000000007
501,MOV-00579,B-020,CMAROSARIO,R-02,MUELLEF,TRIGO,SHANGHAI,2020-04-06,1900-01-01 01:43:00,2020-04-08,1900-01-01 15:06:00,3702.29,15.8,12,EN_REVISION,2 days 13:23:00,3.8000000000000007,3.1999999999999993
503,MOV-00581,B-013,EVERGLORY,R-07,MUELLEE,TRIGO,SHANGHAI,2024-10-02,1900-01-01 07:56:00,2024-10-04,1900-01-01 20:45:00,4732.8,18.3,12,PENDIENTE,2 days 12:49:00,6.300000000000001,5.699999999999999
507,MOV-00586,B-038,MSCALPHA,R-02,MUELLEA,GRANOS,SAO PAULO,2020-01-08,1900-01-01 00:00:00,2020-01-10,1900-01-01 00:00:00,,13.3,10,DESPACHADO,2 days 00:00:00,3.3000000000000007,2.8000000000000007
510,MOV-00591,B-004,COSCOSTAR,R-07,MUELLEB,ACEITE,ROTTERDAM,2024-08-21,1900-01-01 04:17:00,2024-08-23,1900-01-01 01:42:00,6267.37,11.0,10,EN_REVISION,1 days 21:25:00,1.0,0.5
517,MOV-00600,B-023,EVERGREEN02,R-04,MUELLEC,ACEITE,MONTEVIDEO,2022-04-14,1900-01-01 15:36:00,2022-04-14,1900-01-01 08:07:00,4704.18,12.9,10,DESPACHADO,,2.9000000000000004,2.4000000000000004
520,MOV-00604,B-029,MAERSKLIMA,R-02,MUELLEC,MAIZ,SAO PAULO,2020-07-21,1900-01-01 20:50:00,2020-07-22,1900-01-01 14:07:00,5536.2,14.9,10,DESPACHADO,0 days 17:17:00,4.9,4.4
524,MOV-00609,B-016,ZIMNORTE,R-05,MUELLEA,CONTENEDORES,ROTTERDAM,2020-08-30,1900-01-01 13:31:00,2020-08-30,1900-01-01 01:22:00,5288.11,13.0,10,PENDIENTE,,3.0,2.5
525,MOV-00610,B-020,PILOESTE,R-05,MUELLEC,HARINA,SANTA FE,2023-11-03,1900-01-01 09:38:00,2023-11-04,1900-01-01 10:06:00,6167.84,11.4,10,RECHAZADO,1 days 00:28:00,1.4000000000000004,0.9000000000000004
527,MOV-00612,B-024,EVERGLORY,R-06,MUELLEE,TRIGO,SAO PAULO,2024-07-14,1900-01-01 22:15:00,2024-07-15,1900-01-01 19:00:00,4945.59,14.0,10,PENDIENTE,0 days 20:45:00,4.0,3.5
528,MOV-00614,B-026,YANGESTE,R-03,MUELLEC,ACEITE,ROTTERDAM,2024-10-13,1900-01-01 07:00:00,2024-10-15,1900-01-01 14:42:00,4580.32,15.1,10,RECHAZADO,2 days 07:42:00,5.1,4.6
532,MOV-00618,B-008,ONEPARANA,R-07,MUELLEE,SOJA,HAMBURG,2022-02-13,1900-01-01 00:00:00,2022-02-15,1900-01-01 10:37:00,5669.69,10.9,10,PENDIENTE,2 days 10:37:00,0.9000000000000004,0.40000000000000036
536,MOV-00622,B-004,COSCOTIGRE,R-04,MUELLEF,MINERALES,SAO PAULO,2021-07-10,1900-01-01 12:43:00,2021-07-13,1900-01-01 08:30:00,5363.36,10.8,10,DESPACHADO,2 days 19:47:00,0.8000000000000007,0.3000000000000007
537,MOV-00623,B-019,COSCOTIGRE,R-04,MUELLEE,MINERALES,SHANGHAI,2020-04-02,1900-01-01 11:20:00,2020-04-03,1900-01-01 15:54:00,,13.9,12,RECHAZADO,1 days 04:34:00,1.9000000000000004,1.299999999999999
538,MOV-00624,B-014,PILOESTE,R-06,MUELLED,MINERALES,SHANGHAI,2020-02-07,1900-01-01 08:10:00,2020-02-09,1900-01-01 16:01:00,7011.49,14.0,10,PENDIENTE,2 days 07:51:00,4.0,3.5
539,MOV-00625,B-003,PILOESTE,R-08,MUELLEB,SOJA,MONTEVIDEO,2024-06-22,1900-01-01 19:49:00,2024-06-23,1900-01-01 13:31:00,3622.27,12.2,10,RECHAZADO,0 days 17:42:00,2.1999999999999993,1.6999999999999993
543,MOV-00631,B-023,ONEPARANA,R-05,MUELLEF,CONTENEDORES,SHANGHAI,2020-03-17,1900-01-01 07:00:00,2020-03-17,1900-01-01 03:45:00,3430.69,12.7,10,EN_REVISION,,2.6999999999999993,2.1999999999999993
547,MOV-00637,B-011,HAPAGRIO,R-03,MUELLEC,GRANOS,SHANGHAI,2024-08-29,1900-01-01 08:42:00,2024-08-31,1900-01-01 04:31:00,2712.13,14.3,12,DESPACHADO,1 days 19:49:00,2.3000000000000007,1.6999999999999993
548,MOV-00638,B-029,CMAROSARIO,R-08,MUELLEF,MAIZ,SHANGHAI,2024-07-01,1900-01-01 18:50:00,2024-07-03,1900-01-01 17:21:00,5446.59,14.4,10,DESPACHADO,1 days 22:31:00,4.4,3.9000000000000004
550,MOV-00640,B-025,PILSANTA,R-04,MUELLEB,MINERALES,MONTEVIDEO,2020-10-22,1900-01-01 03:24:00,2020-10-23,1900-01-01 17:37:00,7345.88,12.8,10,PENDIENTE,1 days 14:13:00,2.8000000000000007,2.3000000000000007
555,MOV-00646,B-035,ONEPARANA,R-02,MUELLEC,MINERALES,BUENOS AIRES,2024-08-17,1900-01-01 13:37:00,2024-08-19,1900-01-01 16:38:00,3369.33,12.7,10,DESPACHADO,2 days 03:01:00,2.6999999999999993,2.1999999999999993
558,MOV-00649,B-039,CMAROSARIO,R-02,MUELLEF,TRIGO,SHANGHAI,2022-12-18,1900-01-01 15:20:00,2022-12-18,1900-01-01 00:00:00,3423.65,13.0,10,PENDIENTE,,3.0,2.5
562,MOV-00653,B-033,COSCOTIGRE,R-01,MUELLEC,MAIZ,BUENOS AIRES,2020-03-21,1900-01-01 12:25:00,2020-03-23,1900-01-01 22:52:00,5338.36,13.4,12,DESPACHADO,2 days 10:27:00,1.4000000000000004,0.7999999999999989
563,MOV-00654,B-035,ZIMNORTE,R-04,MUELLEE,MINERALES,VALPARAISO,2020-01-30,1900-01-01 04:59:00,2020-02-01,1900-01-01 05:28:00,,11.0,10,DESPACHADO,2 days 00:29:00,1.0,0.5
566,MOV-00659,B-004,ONEPLATA,R-01,MUELLEC,HARINA,BUENOS AIRES,2021-04-16,1900-01-01 11:40:00,2021-04-17,1900-01-01 10:18:00,4025.69,12.8,12,EN_REVISION,0 days 22:38:00,0.8000000000000007,0.1999999999999993
567,MOV-00660,B-022,ZIMDELTA,,MUELLEE,GRANOS,SAO PAULO,2024-11-24,1900-01-01 02:44:00,2024-11-25,1900-01-01 19:46:00,5595.41,13.5,10,PENDIENTE,1 days 17:02:00,3.5,3.0
568,MOV-00661,B-021,COSCOSTAR,R-06,MUELLEB,SOJA,HAMBURG,2021-11-01,1900-01-01 23:14:00,2021-11-04,1900-01-01 19:17:00,3097.93,15.1,10,EN_REVISION,2 days 20:03:00,5.1,4.6
570,MOV-00663,B-019,COSCOTIGRE,R-05,MUELLEF,HARINA,HAMBURG,2024-08-14,1900-01-01 15:21:00,2024-08-16,1900-01-01 01:02:00,3575.34,13.5,12,EN_REVISION,1 days 09:41:00,1.5,0.8999999999999986
